angle, distance, x, y
207.187500, 0.450000, -0.400282, -0.205607
209.000000, 0.270000, -0.236147, -0.130899
210.625000, 0.270000, -0.232340, -0.137543
212.437500, 0.280000, -0.236314, -0.150186
214.125000, 0.330000, -0.273179, -0.185130
215.937500, 0.200000, -0.161932, -0.117380
217.750000, 0.180000, -0.142324, -0.110199
219.375000, 0.350000, -0.270554, -0.222038
220.687500, 0.180000, -0.136490, -0.117348
222.500000, 0.330000, -0.243302, -0.222945
224.125000, 0.220000, -0.157921, -0.153170
226.000000, 0.180000, -0.125039, -0.129481
227.625000, 0.200000, -0.134796, -0.147750
229.437500, 0.040000, -0.026011, -0.030388
231.062500, 0.070000, -0.043993, -0.054448
232.937500, 0.150000, -0.090403, -0.119697
234.562500, 0.140000, -0.081174, -0.114065
236.187500, 0.130000, -0.072342, -0.108012
237.812500, 0.040000, -0.021308, -0.033852
239.687500, 0.120000, -0.060566, -0.103594
241.312500, 0.050000, -0.024002, -0.043863
243.125000, 0.080000, -0.036164, -0.071360
244.750000, 0.150000, -0.063985, -0.135668
246.437500, 0.150000, -0.059962, -0.137494
248.062500, 0.050000, -0.018680, -0.046380
249.875000, 0.180000, -0.061932, -0.169010
251.500000, 0.200000, -0.063461, -0.189665
253.375000, 0.100000, -0.028611, -0.095820
255.000000, 0.450000, -0.116469, -0.434667
256.812500, 0.510000, -0.116351, -0.496551
258.437500, 0.500000, -0.100218, -0.489853
260.312500, 0.530000, -0.089185, -0.522442
261.937500, 0.510000, -0.071529, -0.504959
263.562500, 0.500000, -0.056060, -0.496847
265.250000, 0.610000, -0.050513, -0.607905
267.062500, 0.400000, -0.020499, -0.399474
268.687500, 0.380000, -0.008704, -0.379900
270.500000, 0.400000, 0.003491, -0.399985
272.187500, 0.320000, 0.012214, -0.319767
274.000000, 0.340000, 0.023717, -0.339172
275.625000, 0.430000, 0.042147, -0.427929
277.250000, 0.780000, 0.098435, -0.773764
278.937500, 0.700000, 0.108750, -0.691501
280.562500, 0.660000, 0.120983, -0.648817
282.375000, 0.680000, 0.145730, -0.664201
284.000000, 0.660000, 0.159668, -0.640395
285.500000, 0.690000, 0.184394, -0.664905
287.312500, 0.720000, 0.214260, -0.687381
288.937500, 0.780000, 0.253139, -0.737781
290.750000, 0.740000, 0.262175, -0.692000
292.437500, 0.270000, 0.103052, -0.249560
294.250000, 0.010000, 0.004107, -0.009118
295.875000, 0.540000, 0.235661, -0.485864
297.687500, 0.320000, 0.148688, -0.283358
299.375000, 0.320000, 0.156968, -0.278857
301.187500, 0.240000, 0.124282, -0.205315
302.812500, 0.290000, 0.157149, -0.243730
304.625000, 0.280000, 0.159097, -0.230409
306.312500, 0.220000, 0.130282, -0.177276
308.312500, 0.280000, 0.173586, -0.219700
309.937500, 0.200000, 0.128390, -0.153349
311.750000, 0.300000, 0.199764, -0.223817
313.437500, 0.290000, 0.199393, -0.210576
315.250000, 0.190000, 0.134935, -0.133763
316.875000, 0.290000, 0.211661, -0.198242
318.687500, 0.240000, 0.180269, -0.158440
320.375000, 0.230000, 0.177154, -0.146685
322.187500, 0.220000, 0.173805, -0.134877
323.812500, 0.350000, 0.282481, -0.206650
325.625000, 0.300000, 0.247608, -0.169382
327.312500, 0.230000, 0.193575, -0.124213
329.687500, 0.250000, 0.215821, -0.126179
331.500000, 0.330000, 0.290010, -0.157462
333.312500, 0.330000, 0.294845, -0.148211
334.937500, 0.340000, 0.307988, -0.144026
336.625000, 0.450000, 0.413068, -0.178536
338.437500, 0.220000, 0.204604, -0.080854
340.250000, 0.370000, 0.348235, -0.125029
341.875000, 0.320000, 0.304122, -0.099549
343.750000, 0.370000, 0.355218, -0.103537
345.562500, 0.370000, 0.358315, -0.092250
347.187500, 0.390000, 0.380289, -0.086487
348.812500, 0.390000, 0.382589, -0.075668
350.687500, 0.440000, 0.434201, -0.071200
352.312500, 0.350000, 0.346854, -0.046819
353.937500, 0.440000, 0.437539, -0.046470
355.750000, 0.510000, 0.508598, -0.037795
357.437500, 0.490000, 0.489510, -0.021907
359.250000, 5.420000, 5.419536, -0.070946
1.625000, 5.420000, 5.417820, 0.153699
3.250000, 5.470000, 5.461202, 0.310110
5.062500, 5.550000, 5.528350, 0.489745
6.750000, 5.540000, 5.501599, 0.651157
8.375000, 1.060000, 1.048696, 0.154390
10.187500, 0.850000, 0.836599, 0.150340
11.812500, 0.840000, 0.822211, 0.171956
13.687500, 0.900000, 0.874441, 0.212964
15.312500, 0.850000, 0.819825, 0.224471
17.125000, 0.880000, 0.840985, 0.259122
18.750000, 0.920000, 0.871176, 0.295724
20.625000, 0.930000, 0.870393, 0.327593
22.437500, 0.970000, 0.896568, 0.370225
24.062500, 0.910000, 0.830922, 0.371037
25.687500, 4.080000, 3.676780, 1.768527
27.562500, 3.880000, 3.439646, 1.795338
29.187500, 0.920000, 0.803186, 0.448656
30.812500, 0.010000, 0.008588, 0.005122
32.625000, 0.900000, 0.757996, 0.485224
34.312500, 4.080000, 3.369979, 2.299922
35.937500, 3.890000, 3.149568, 2.283050
37.750000, 3.720000, 2.941365, 2.277448
39.375000, 3.650000, 2.821488, 2.315535
41.062500, 3.510000, 2.646517, 2.305655
42.875000, 3.410000, 2.498984, 2.320168
44.687500, 3.330000, 2.367473, 2.341788
46.500000, 3.240000, 2.230269, 2.350213
48.187500, 3.110000, 2.073422, 2.317978
50.000000, 0.660000, 0.424240, 0.505589
51.625000, 0.630000, 0.391108, 0.493898
53.437500, 0.600000, 0.357420, 0.481925
55.125000, 0.570000, 0.325919, 0.467629
56.937500, 0.540000, 0.294599, 0.452561
58.562500, 0.530000, 0.276431, 0.452201
60.375000, 0.510000, 0.252104, 0.443332
62.062500, 0.530000, 0.248309, 0.468233
63.875000, 0.510000, 0.224569, 0.457896
66.062500, 0.510000, 0.206927, 0.466134
67.875000, 0.500000, 0.188314, 0.463182
69.500000, 0.490000, 0.171602, 0.458969
71.375000, 0.510000, 0.162880, 0.483291
73.000000, 0.470000, 0.137415, 0.449463
74.812500, 0.420000, 0.110031, 0.405331
76.437500, 0.570000, 0.133668, 0.554105
78.312500, 0.660000, 0.133699, 0.646316
79.937500, 0.580000, 0.101339, 0.571078
81.750000, 0.620000, 0.088965, 0.613584
83.375000, 0.670000, 0.077298, 0.665526
85.062500, 0.740000, 0.063691, 0.737254
86.687500, 0.870000, 0.050270, 0.868546
88.500000, 2.310000, 0.060469, 2.309208
90.125000, 2.300000, -0.005018, 2.299995
92.000000, 2.300000, -0.080269, 2.298599
93.625000, 2.290000, -0.144788, 2.285418
95.437500, 2.290000, -0.217000, 2.279695
97.062500, 2.300000, -0.282790, 2.282549
98.937500, 2.320000, -0.360428, 2.291831
100.562500, 2.310000, -0.423441, 2.270858
102.375000, 2.320000, -0.497197, 2.266097
104.000000, 2.380000, -0.575774, 2.309304
105.875000, 2.360000, -0.645553, 2.269991
107.500000, 2.370000, -0.712673, 2.260309
109.312500, 4.910000, -1.623837, 4.633709
111.125000, 4.490000, -1.618213, 4.188256
113.000000, 4.110000, -1.605905, 3.783275
114.625000, 3.710000, -1.545873, 3.372592
116.437500, 2.230000, -0.992844, 1.996788
118.062500, 2.360000, -1.110225, 2.082546
119.937500, 2.380000, -1.187751, 2.062437
121.562500, 2.300000, -1.203885, 1.959760
123.375000, 0.010000, -0.005501, 0.008351
125.187500, 0.010000, -0.005763, 0.008173
126.875000, 0.010000, -0.006001, 0.007999
128.500000, 0.010000, -0.006225, 0.007826
130.125000, 0.560000, -0.360896, 0.428199
131.937500, 0.490000, -0.327477, 0.364498
133.812500, 0.510000, -0.353073, 0.368021
135.625000, 0.470000, -0.335946, 0.328695
137.250000, 0.480000, -0.352475, 0.325824
139.062500, 0.440000, -0.332387, 0.288304
140.750000, 0.430000, -0.332989, 0.272063
142.375000, 0.430000, -0.340570, 0.262511
144.187500, 0.420000, -0.340593, 0.245757
145.812500, 0.400000, -0.330881, 0.224761
147.687500, 0.440000, -0.371864, 0.235196
149.312500, 0.430000, -0.369784, 0.219453
150.937500, 0.380000, -0.332154, 0.184590
152.562500, 0.380000, -0.337255, 0.175097
154.437500, 0.280000, -0.252592, 0.120819
156.250000, 0.380000, -0.347818, 0.153044
157.875000, 0.270000, -0.250118, 0.101690
159.687500, 0.270000, -0.253210, 0.093728
161.500000, 0.330000, -0.312947, 0.104711
163.187500, 0.200000, -0.191451, 0.057848
164.812500, 0.250000, -0.241268, 0.065495
166.437500, 0.230000, -0.223586, 0.053936
168.312500, 0.290000, -0.283987, 0.058746
169.937500, 0.300000, -0.295385, 0.052417
171.750000, 0.340000, -0.336481, 0.048787
173.375000, 0.320000, -0.317863, 0.036919
175.250000, 0.320000, -0.318901, 0.026499
176.875000, 0.380000, -0.379435, 0.020716
178.500000, 0.330000, -0.329887, 0.008638
180.125000, 0.250000, -0.249999, -0.000545
181.812500, 0.370000, -0.369815, -0.011703
183.625000, 0.390000, -0.389220, -0.024658
185.250000, 0.390000, -0.388364, -0.035686
186.875000, 0.400000, -0.397124, -0.047881
188.562500, 0.470000, -0.464761, -0.069977
190.375000, 0.480000, -0.472152, -0.086443
192.000000, 0.430000, -0.420603, -0.089402
193.812500, 0.400000, -0.388433, -0.095498
195.500000, 0.430000, -0.414361, -0.114913
197.312500, 0.380000, -0.362784, -0.113082
198.562500, 0.440000, -0.417110, -0.140069
200.437500, 0.630000, -0.590344, -0.219987
202.062500, 0.140000, -0.129748, -0.052586
203.875000, 0.340000, -0.310906, -0.137612
205.500000, 0.420000, -0.379086, -0.180815
207.375000, 0.330000, -0.293045, -0.151738
209.000000, 0.330000, -0.288625, -0.159987
210.812500, 0.280000, -0.240477, -0.143424
212.437500, 0.280000, -0.236314, -0.150186
214.125000, 0.280000, -0.231788, -0.157080
215.937500, 0.230000, -0.186221, -0.134988
217.562500, 0.340000, -0.269514, -0.207273
219.187500, 0.230000, -0.178269, -0.145328
220.687500, 0.240000, -0.181986, -0.156464
222.500000, 0.320000, -0.235929, -0.216189
224.125000, 0.140000, -0.100495, -0.097472
226.000000, 0.120000, -0.083359, -0.086321
227.625000, 0.190000, -0.128056, -0.140362
229.437500, 0.170000, -0.110547, -0.129149
231.062500, 0.100000, -0.062847, -0.077783
232.937500, 0.080000, -0.048215, -0.063838
234.562500, 0.140000, -0.081174, -0.114065
236.375000, 0.100000, -0.055375, -0.083268
238.000000, 0.120000, -0.063590, -0.101766
239.875000, 0.050000, -0.025094, -0.043247
241.500000, 0.200000, -0.095432, -0.175763
242.937500, 0.100000, -0.045496, -0.089051
244.562500, 0.070000, -0.030067, -0.063214
246.625000, 0.190000, -0.075382, -0.174406
248.437500, 0.050000, -0.018376, -0.046501
250.062500, 0.130000, -0.044329, -0.122208
251.875000, 0.220000, -0.068440, -0.209084
253.562500, 0.170000, -0.048105, -0.163052
